
Suite: smoke  |  Verdict: PASS  |  2026-05-22T02:21:35.097Z
  pass=14  fail=0  skip=6  error=0

ID              Status    Class           Reason / Message
--------------------------------------------------------------------------------
VAL-PKG-001     skip      scripted-local  helper-not-available
VAL-CAP-001     skip      manual          manual
VAL-CAP-003     pass      scripted-local  Portal denial emitted capture.sessionLost(portal-denied); helper returned to IDLE
VAL-CAP-004     pass      scripted-local  Monitor capture passed drop+cadence gates (60 samples, key=1080p60-nvenc)
VAL-CAP-006     skip      manual          manual
VAL-UI-005      skip      manual          manual
VAL-ENC-001     pass      scripted-local  NVENC probe confirmed available via encoder.probeResult
VAL-ENC-006     skip      manual          manual
VAL-SEG-001     pass      scripted-local  Segment buffer stayed within disk budget over 64 samples (max 0.19%)
VAL-SEG-003     pass      scripted-local  replay.save completed in 0 ms (gate: 2250 ms)
VAL-EXP-001     pass      scripted-local  Export completed: 7846176 bytes, SHA256 verified, 60 s window (28.72 s actual)
VAL-EXP-010     pass      scripted-local  No dup PTS; cadence within variable-rate policy; 1560 frames in 28.8 s (nominal=60.00 fps source=row-config)
VAL-EXP-012     pass      scripted-local  Concurrent export OK: during-export drops=0, export=export.completed
VAL-UI-003      pass      scripted-local  HUD Hz validated (policy=fast-export): 0 diagnostics over 0s export window; static assertions passed
VAL-UI-012      skip      manual          manual
VAL-PROC-001    pass      scripted-local  All processes cleaned up within 5s after engine.shutdown
VAL-PROC-002    pass      scripted-local  All processes cleaned up within 5s after stopSession+shutdown
VAL-PROC-003    pass      scripted-local  All processes cleaned up within 5s after SIGTERM (no explicit stopSession)
VAL-PROC-007    pass      scripted-local  No pactl found in helper process tree during idle
VAL-REG-002     pass      scripted-local  No fake-60fps duplication: 0 dup PTS in 28.7 s

