
Suite: smoke  |  Verdict: PASS  |  2026-05-21T01:16:44.915Z
  pass=5  fail=0  skip=15  error=0

ID              Status    Class           Reason / Message
--------------------------------------------------------------------------------
VAL-PKG-001     skip      scripted-local  helper-not-available
VAL-CAP-001     skip      manual          manual
VAL-CAP-003     pass      scripted-local  Portal denial emitted capture.sessionLost(portal-denied); helper returned to IDLE
VAL-CAP-004     skip      scripted-local  helper-not-available
VAL-CAP-006     skip      manual          manual
VAL-UI-005      skip      manual          manual
VAL-ENC-001     skip      scripted-local  helper-not-available
VAL-ENC-006     skip      manual          manual
VAL-SEG-001     skip      scripted-local  helper-not-available
VAL-SEG-003     skip      scripted-local  helper-not-available
VAL-EXP-001     skip      scripted-local  helper-not-available
VAL-EXP-010     skip      scripted-local  helper-not-available
VAL-EXP-012     skip      scripted-local  helper-not-available
VAL-UI-003      skip      scripted-local  helper-not-available
VAL-UI-012      skip      manual          manual
VAL-PROC-001    pass      scripted-local  All processes cleaned up within 5s after engine.shutdown
VAL-PROC-002    pass      scripted-local  All processes cleaned up within 5s after stopSession+shutdown
VAL-PROC-003    pass      scripted-local  All processes cleaned up within 5s after SIGTERM (no explicit stopSession)
VAL-PROC-007    pass      scripted-local  No pactl found in helper process tree during idle
VAL-REG-002     skip      scripted-local  helper-not-available

